evaluations,best_so_far
1,168.90371776
2,73.87811776
3,73.87811776
4,73.87811776
5,46.48291776
6,46.48291776
7,46.48291776
8,46.48291776
9,46.48291776
10,46.48291776
11,46.48291776
12,46.48291776
13,46.1808269335
14,46.1656749879
15,46.1656749879
16,45.5044077545
17,45.5044077545
18,45.5044077545
19,44.9979291765
20,44.9979291765
21,42.5794912954
22,42.5794912954
23,42.460806575
24,42.460806575
25,42.460806575
26,41.4968514721
27,41.4968514721
28,41.4706557677
29,41.4706557677
30,41.4706557677
31,41.4706557677
32,41.0877319797
33,39.7233332357
34,39.1120328022
35,37.7707517435
36,37.7707517435
37,37.7707517435
38,37.7707517435
39,37.7707517435
40,37.7707517435
41,37.7707517435
42,37.7707517435
43,37.7707517435
44,37.7707517435
45,37.7707517435
46,37.7707517435
47,37.7707517435
48,33.7448201773
49,33.7448201773
50,33.7448201773
51,33.4463404934
52,33.2887298298
53,32.1228783744
54,32.1228783744
55,32.1228783744
56,32.1228783744
57,32.1228783744
58,32.1228783744
59,32.1228783744
60,31.939507483
61,30.53742114
62,30.53742114
63,30.53742114
64,30.53742114
65,30.53742114
66,30.53742114
67,28.1155371346
68,28.1155371346
69,28.1155371346
70,27.7886997959
71,27.4560542331
72,27.4560542331
73,27.4560542331
74,27.4560542331
75,27.4560542331
76,27.2280663444
77,26.7470795695
78,26.3323688757
79,26.0415485405
80,26.0415485405
81,25.6665011714
82,25.6665011714
83,25.6665011714
84,25.5929412999
85,25.5929412999
86,25.5929412999
87,25.5929412999
88,25.5929412999
89,23.1888827837
90,23.1888827837
91,22.8910753912
92,22.6496551046
93,22.6496551046
94,22.6496551046
95,22.0910062898
96,22.0910062898
97,22.0910062898
98,22.0910062898
99,22.0910062898
100,22.0910062898
