evaluations,mean,std
1.0,676.6159944757,587.9116800065605
2.0,210.36574837007498,184.31587903471578
3.0,152.861696012825,164.7311673764652
4.0,63.9334154841,42.207837262269315
5.0,63.58189678915,42.15002604799527
6.0,47.80600482695,29.868861686444795
7.0,47.80600482695,29.868861686444795
8.0,43.461418558625,31.58025392975846
9.0,43.461418558625,31.58025392975846
10.0,43.461418558625,31.58025392975846
11.0,25.964521900375,21.663118921192535
12.0,25.964521900375,21.663118921192535
13.0,25.964521900375,21.663118921192535
14.0,16.404039703425,8.35818466354962
15.0,11.51810537765,7.064396113269462
16.0,10.983917123749999,7.333017445481368
17.0,10.345691504925,6.302154527140525
18.0,10.345691504925,6.302154527140525
19.0,10.345691504925,6.302154527140525
20.0,6.977229879799999,3.8810942286112926
21.0,6.6867631326999994,3.60256912700745
22.0,6.6867631326999994,3.60256912700745
23.0,5.996498791124999,4.295108984321148
24.0,5.996498791124999,4.295108984321148
25.0,5.996498791124999,4.295108984321148
26.0,5.996498791124999,4.295108984321148
27.0,5.996498791124999,4.295108984321148
28.0,5.996498791124999,4.295108984321148
29.0,5.996498791124999,4.295108984321148
30.0,5.996498791124999,4.295108984321148
31.0,5.791462750625,4.081894001844252
32.0,5.791462750625,4.081894001844252
33.0,5.791462750625,4.081894001844252
34.0,5.791462750625,4.081894001844252
35.0,4.331314807725,3.3522784393443894
36.0,4.331314807725,3.3522784393443894
37.0,4.331314807725,3.3522784393443894
38.0,4.331314807725,3.3522784393443894
39.0,4.331314807725,3.3522784393443894
40.0,4.331314807725,3.3522784393443894
41.0,4.331314807725,3.3522784393443894
42.0,4.331314807725,3.3522784393443894
43.0,4.331314807725,3.3522784393443894
44.0,4.331314807725,3.3522784393443894
45.0,4.331314807725,3.3522784393443894
46.0,4.331314807725,3.3522784393443894
47.0,4.331314807725,3.3522784393443894
48.0,4.331314807725,3.3522784393443894
49.0,4.331314807725,3.3522784393443894
50.0,4.331314807725,3.3522784393443894
51.0,4.331314807725,3.3522784393443894
52.0,4.331314807725,3.3522784393443894
53.0,4.331314807725,3.3522784393443894
54.0,4.331314807725,3.3522784393443894
55.0,4.331314807725,3.3522784393443894
56.0,4.331314807725,3.3522784393443894
57.0,4.331314807725,3.3522784393443894
58.0,4.331314807725,3.3522784393443894
59.0,4.331314807725,3.3522784393443894
60.0,4.331314807725,3.3522784393443894
61.0,4.331314807725,3.3522784393443894
62.0,4.331314807725,3.3522784393443894
63.0,4.331314807725,3.3522784393443894
64.0,4.331314807725,3.3522784393443894
65.0,4.331314807725,3.3522784393443894
66.0,4.331314807725,3.3522784393443894
67.0,4.331314807725,3.3522784393443894
68.0,4.331314807725,3.3522784393443894
69.0,2.224765901125,1.1592808826880396
70.0,2.224765901125,1.1592808826880396
71.0,2.224765901125,1.1592808826880396
72.0,2.224765901125,1.1592808826880396
73.0,2.224765901125,1.1592808826880396
74.0,2.224765901125,1.1592808826880396
75.0,2.224765901125,1.1592808826880396
76.0,2.224765901125,1.1592808826880396
77.0,2.224765901125,1.1592808826880396
78.0,2.224765901125,1.1592808826880396
79.0,2.224765901125,1.1592808826880396
80.0,2.224765901125,1.1592808826880396
81.0,2.224765901125,1.1592808826880396
82.0,2.224765901125,1.1592808826880396
83.0,2.224765901125,1.1592808826880396
84.0,1.5854683513499999,0.5497163816288617
85.0,1.5854683513499999,0.5497163816288617
86.0,1.5854683513499999,0.5497163816288617
87.0,1.5854683513499999,0.5497163816288617
88.0,1.5854683513499999,0.5497163816288617
89.0,1.5854683513499999,0.5497163816288617
90.0,1.5854683513499999,0.5497163816288617
91.0,1.5854683513499999,0.5497163816288617
92.0,1.5854683513499999,0.5497163816288617
93.0,1.5854683513499999,0.5497163816288617
94.0,1.5854683513499999,0.5497163816288617
95.0,1.5854683513499999,0.5497163816288617
96.0,1.5854683513499999,0.5497163816288617
97.0,1.5854683513499999,0.5497163816288617
98.0,1.5854683513499999,0.5497163816288617
99.0,1.5854683513499999,0.5497163816288617
100.0,1.5854683513499999,0.5497163816288617
