evaluations,best_so_far
1,155.16554176
2,122.53994176
3,109.55914176
4,109.55914176
5,109.55914176
6,109.55914176
7,109.55914176
8,84.35754176
9,84.35754176
10,84.35754176
11,84.35754176
12,84.35754176
13,84.1885671478
14,84.1885671478
15,84.1835860074
16,84.1835860074
17,83.2795986602
18,82.4107040202
19,82.4107040202
20,81.3078801407
21,80.8734863294
22,80.8734863294
23,80.873310819
24,78.7904871875
25,78.7904871875
26,75.7155002007
27,75.598327431
28,75.598327431
29,75.598327431
30,73.2620990675
31,73.2620990675
32,71.9271982316
33,70.9412295965
34,69.6545383997
35,69.6545383997
36,68.4245927841
37,68.4245927841
38,68.4245927841
39,68.4245927841
40,66.924920012
41,66.924920012
42,65.6454696357
43,65.6454696357
44,65.6454696357
45,64.5230343583
46,64.5230343583
47,63.5389078017
48,61.9594193062
49,61.9594193062
50,61.9594193062
51,61.9594193062
52,61.1534066488
53,59.6010991606
54,59.6010991606
55,59.119808069
56,59.119808069
57,58.8793634405
58,56.8236457766
59,56.8236457766
60,55.8042907624
61,54.8600796347
62,54.8600796347
63,54.8600796347
64,54.8600796347
65,54.4731831164
66,54.4731831164
67,54.4731831164
68,53.1139908251
69,53.1139908251
70,53.1139908251
71,53.1139908251
72,53.1139908251
73,53.1139908251
74,53.1139908251
75,51.5091801207
76,50.5486725569
77,50.5486725569
78,50.5486725569
79,49.9895823331
80,49.9895823331
81,49.0020988606
82,49.0020988606
83,49.0020988606
84,48.5859701089
85,48.5859701089
86,48.5859701089
87,48.5859701089
88,48.5859701089
89,48.5859701089
90,47.5748317281
91,47.5748317281
92,47.5748317281
93,47.5508461266
94,47.5508461266
95,47.5508461266
96,47.5508461266
97,45.6102047455
98,44.6483755427
99,44.6483755427
100,44.6483755427
