evaluations,best_so_far
1,189.1500032
2,111.4796032
3,111.4796032
4,69.1340032
5,69.1340032
6,69.1340032
7,69.1340032
8,46.1036032
9,46.1036032
10,46.1036032
11,46.1036032
12,46.1036032
13,45.9530876782
14,45.118791362
15,45.118791362
16,45.118791362
17,45.118791362
18,45.118791362
19,45.118791362
20,43.9053673771
21,43.9053673771
22,41.7737868572
23,41.4470285341
24,40.9363958423
25,40.5250423537
26,40.5250423537
27,39.4340524182
28,39.1148799022
29,16.1219096792
30,16.1219096792
31,16.1219096792
32,16.1219096792
33,16.1219096792
34,16.1219096792
35,16.1219096792
36,16.1219096792
37,16.1219096792
38,16.1219096792
39,16.1219096792
40,16.1219096792
41,16.1219096792
42,15.6043663159
43,15.6043663159
44,15.6043663159
45,15.6043663159
46,15.6043663159
47,15.6043663159
48,15.6043663159
49,15.6043663159
50,15.6043663159
51,15.6043663159
52,15.6043663159
53,15.6043663159
54,15.6043663159
55,15.6043663159
56,14.5873225216
57,14.5873225216
58,14.5873225216
59,14.5873225216
60,13.2224054394
61,13.2224054394
62,13.2224054394
63,13.2224054394
64,13.2224054394
65,13.2224054394
66,13.2224054394
67,13.2224054394
68,13.2224054394
69,13.2224054394
70,13.1031305131
71,13.0165000093
72,13.0165000093
73,13.0165000093
74,13.0165000093
75,13.0165000093
76,13.0165000093
77,13.0165000093
78,13.0165000093
79,13.0165000093
80,13.0165000093
81,13.0165000093
82,13.0165000093
83,13.0165000093
84,12.9213498056
85,12.2303990906
86,12.1278161349
87,12.1278161349
88,12.1278161349
89,12.1217118809
90,12.1217118809
91,12.0899895263
92,12.0899895263
93,12.0899895263
94,12.0899895263
95,12.0899895263
96,12.0899895263
97,12.0899895263
98,12.0899895263
99,12.0899895263
100,12.0899895263
